DATE|S&P500D|TBILL|GM|GE|rm -rf|ge - rf
nov-68|0,0532510300|0,0045105683|-0,0427350000|0,0486840000|0,0487404617|0,0441734317
dic-68|-0,0408791400|0,0051578054|-0,0409090000|-0,0511920000|-0,0460369454|-0,0563498054
ene-69|-0,0071862580|0,0051121199|-0,0031600000|-0,0119840000|-0,0122983779|-0,0170961199
feb-69|-0,0424058000|0,0051609553|-0,0050710000|-0,0603770000|-0,0475667553|-0,0655379553
mar-69|0,0351022700|0,0049457261|0,0547500000|0,0664740000|0,0301565439|0,0615282739
abr-69|0,0229874300|0,0048485888|-0,0030530000|0,0596210000|0,0181388412|0,0547724112
may-69|0,0035418480|0,0050191029|0,0241960000|-0,0358060000|-0,0014772549|-0,0408251029
jun-69|-0,0544579000|0,0051814269|-0,0415380000|-0,0381960000|-0,0596393269|-0,0433774269
jul-69|-0,0588622300|0,0056995609|-0,0706260000|-0,0430560000|-0,0645617909|-0,0487555609
ago-69|0,0457628400|0,0057191295|0,0134720000|-0,0275760000|0,0400437105|-0,0332951295
sep-69|-0,0240051500|0,0057120853|0,0120690000|0,0226870000|-0,0297172353|0,0169749147
oct-69|0,0466247600|0,0056917322|0,0221470000|-0,0102940000|0,0409330278|-0,0159857322
nov-69|-0,0289444400|0,0060386798|-0,0333330000|-0,0475480000|-0,0349831198|-0,0535866798
dic-69|-0,0170065200|0,0065690535|-0,0264080000|-0,0246490000|-0,0235755735|-0,0312180535
ene-70|-0,0753756200|0,0064472308|-0,0741410000|-0,0661290000|-0,0818228508|-0,0725762308
feb-70|0,0591083200|0,0055993036|0,0972660000|-0,0259070000|0,0535090164|-0,0315063036
mar-70|0,0031387490|0,0051853632|0,0720720000|0,0553190000|-0,0020466142|0,0501336368
abr-70|-0,0886013900|0,0056392630|-0,0672270000|-0,0338980000|-0,0942406530|-0,0395372630
may-70|-0,0544536800|0,0057066061|-0,0526130000|-0,0684210000|-0,0601602861|-0,0741276061
jun-70|-0,0482537200|0,0051940225|-0,0423890000|0,0267420000|-0,0534477425|0,0215479775
